F26Q10000253|202602|135000.00|XX|0|360|||||5.990|0.00|||||||||||0.00|||79||||||135000.00|7|OTHER|0.00
F26Q10000253|202603|135000.00|00|1|359|||||5.990|0.00|||||||||||0.00|||77||||||135000.00|7|OTHER|0.00
F26Q10000264|202602|156000.00|XX|0|360|||||6.625|0.00|||||||||||0.00|||999||||||156000.00|N|OTHER|0.00
F26Q10000264|202603|156000.00|00|1|359|||||6.625|0.00|||||||||||0.00|||999||||||156000.00|N|OTHER|0.00
F26Q10000308|202602|455000.00|XX|0|360|||||6.325|0.00|||||||||||0.00|||70||||||455000.00|7|CROSSCOUNTRY MORTGAGE, LLC|0.00
F26Q10000308|202603|454000.00|00|1|359|||||6.325|0.00|||||||||||0.00|||70||||||454000.00|7|CROSSCOUNTRY MORTGAGE, LLC|0.00
F26Q10000314|202602|180000.00|XX|0|360|||||5.990|0.00|||||||||||0.00|||90||||||180000.00|N|OTHER|0.00
F26Q10000314|202603|180000.00|00|1|359|||||5.990|0.00|||||||||||0.00|||87||||||180000.00|N|OTHER|0.00
F26Q10000326|202602|122000.00|XX|0|360|||||6.125|0.00|||||||||||0.00|||80||||||122000.00|7|OTHER|0.00
F26Q10000326|202603|122000.00|00|1|359|||||6.125|0.00|||||||||||0.00|||77||||||122000.00|7|OTHER|0.00
F26Q10000330|202602|338000.00|XX|0|360|||||5.875|0.00|||||||||||0.00|||90||||||338000.00|N|OTHER|0.00
F26Q10000330|202603|337000.00|00|1|359|||||5.875|0.00|||||||||||0.00|||89||||||337000.00|N|OTHER|0.00
F26Q10000345|202602|668000.00|XX|0|360|||||5.875|0.00|||||||||||0.00|||80||||||668000.00|7|OTHER|0.00
F26Q10000345|202603|667000.00|00|1|359|||||5.875|0.00|||||||||||0.00|||79||||||667000.00|7|OTHER|0.00
F26Q10000349|202602|370000.00|XX|0|360|||||6.100|0.00|||||||||||0.00|||57||||||370000.00|7|OTHER|0.00
F26Q10000349|202603|370000.00|00|1|359|||||6.100|0.00|||||||||||0.00|||54||||||370000.00|7|OTHER|0.00
F26Q10000380|202602|390000.00|XX|0|360|||||6.115|0.00|||||||||||0.00|||66||||||390000.00|7|CROSSCOUNTRY MORTGAGE, LLC|0.00
F26Q10000380|202603|390000.00|00|1|359|||||6.115|0.00|||||||||||0.00|||65||||||390000.00|7|CROSSCOUNTRY MORTGAGE, LLC|0.00
F26Q10000385|202602|149000.00|XX|0|360|||||6.375|0.00|||||||||||0.00|||95||||||149000.00|N|OTHER|0.00
F26Q10000385|202603|149000.00|00|1|359|||||6.375|0.00|||||||||||0.00|||94||||||149000.00|N|OTHER|0.00
F26Q10000394|202602|651000.00|XX|0|360|||||5.875|0.00|||||||||||0.00|||83||||||651000.00|7|OTHER|0.00
F26Q10000394|202603|651000.00|00|1|359|||||5.875|0.00|||||||||||0.00|||83||||||651000.00|7|PHH ASSET SERVICES LLC|0.00
F26Q10000403|202602|657000.00|XX|0|360|||||5.990|0.00|||||||||||0.00|||93||||||657000.00|N|OTHER|0.00
F26Q10000403|202603|656000.00|00|1|359|||||5.990|0.00|||||||||||0.00|||91||||||656000.00|N|PHH ASSET SERVICES LLC|0.00
F26Q10000411|202601|162000.00|XX|0|360|||||6.875|0.00|||||||||||0.00|||87||||||162000.00|N|CROSSCOUNTRY MORTGAGE, LLC|0.00
F26Q10000411|202602|162000.00|00|1|359|||||6.875|0.00|||||||||||0.00|||90||||||162000.00|N|CROSSCOUNTRY MORTGAGE, LLC|0.00
F26Q10000411|202603|162000.00|00|2|358|||||6.875|0.00|||||||||||0.00|||89||||||162000.00|N|CROSSCOUNTRY MORTGAGE, LLC|0.00
F26Q10000419|202601|296000.00|XX|0|360|||||6.375|0.00|||||||||||0.00|||52||||||296000.00|7|ROCKET MORTGAGE, LLC|0.00
F26Q10000419|202602|295000.00|00|1|359|||||6.375|0.00|||||||||||0.00|||67||||||295000.00|7|ROCKET MORTGAGE, LLC|0.00
F26Q10000419|202603|295000.00|00|2|358|||||6.375|0.00|||||||||||0.00|||44||||||295000.00|7|ROCKET MORTGAGE, LLC|0.00
